"Name","Score"
"PRKCA",5.40133113401973e-07
"CMIP",5.43523059396078e-07
"ATP6V1G1",5.44663540043547e-07
"SAC3D1",5.45224669503456e-07
"PKM",5.57260696754328e-07
"ZMAT2",5.58998063110038e-07
"STRN3",5.65992736929887e-07
"AC016831.7",5.67752754429362e-07
"COX7A2L",5.67752754429362e-07
"HABP4",5.69517330375868e-07
"VDAC3",5.71286474209624e-07
"CACNA2D3",5.72852048804083e-07
"TMEM59L",5.80201043121432e-07
"WASF1",5.80201043121432e-07
"FTL",5.84588285315472e-07
"DSCAM",5.87415888541672e-07
"ANXA2",6.00221768411806e-07
"GRIN1",6.00221768411806e-07
"P2RX6",6.020700249415e-07
"ZNF205",6.05780768717761e-07
"TALDO1",6.09510551666327e-07
"SLC2A6",6.13259451856447e-07
"COMMD7",6.13259451856447e-07
"FAIM2",6.17027547597204e-07
"LRRTM4",6.26532283556524e-07
"MAPK8IP2",6.32720775653358e-07
"UBE2J2",6.36158717229675e-07
"AP000857.3",6.40043644258304e-07
"MAP2K5",6.45908092001909e-07
"SHISA6",6.45908092001909e-07
"TRIM37",6.57771388718658e-07
"TUBB4A",6.59766145047258e-07
"ALCAM",6.63770783479186e-07
"HNRNPM",6.63770783479186e-07
"TSR3",6.67795657529672e-07
"RP11-187O7.3",6.75906439608204e-07
"CHCHD2",6.77946910374373e-07
"KIF5C",6.79992511815834e-07
"MXRA7",6.84099148002189e-07
"IGFBP6",6.93284273740253e-07
"PTRF",6.96543268787151e-07
"TMEM30A",6.97480521578086e-07
"NTNG2",6.98635512372782e-07
"C2orf27A",7.15562785804517e-07
"MSN",7.19847580494829e-07
"PRKCE",7.21997982468885e-07
"CSTB",7.23085669594985e-07
"EPS15",7.28481334507338e-07
"STK39",7.30653202762789e-07
"CARM1",7.30653202762789e-07
"AC079610.1",7.37201209958564e-07
"KCTD17",7.41593657401759e-07
"QTRT1",7.43798046187424e-07
"BLCAP",7.46007892728789e-07
"UBE2L3",7.48223207830608e-07
