Name,Human_Score,Mouse_Score
AMPD3,0.023489432,1.37E-05
AMPH,4.70E-05,6.79E-07
AMTN,1,1
AMZ1,0.893880579,0.113802048
AMZ2,1,3.10E-06
ANAPC1,0.147796554,0.000132405
ANAPC10,0.000372088,0.000180813
ANAPC11,0.03191733,4.47E-07
ANAPC13,0.000101209,9.51E-06
ANAPC15,0.161317294,1
ANAPC16,0.003484306,3.02E-08
ANAPC2,1,4.58E-08
ANAPC4,0.062418029,3.36E-06
ANAPC5,0.004778255,8.74E-10
ANAPC7,0.448918454,1.81E-05
ANGEL1,0.013117049,1.60E-05
ANGEL2,0.060729847,3.32E-05
ANGPT1,0.54350129,1
ANGPT2,0.222914693,0.090748067
ANGPT4,1,1
ANGPTL1,1,1
ANGPTL2,1,0.001411507
ANGPTL4,0.035307679,0.030454393
ANGPTL6,1,0.000310271
ANGPTL7,1,1
ANK1,3.70E-07,0.006249444
ANK2,1.27E-06,7.36E-09
ANK3,1.05E-06,6.29E-06
ANKDD1B,0.106673358,0.129032511
ANKEF1,1,1
ANKFN1,0.379396913,1
ANKFY1,0.00471286,4.90E-05
ANKH,0.001661992,2.97E-07
ANKHD1-EIF4EBP3,0.514778221,0.007903454
ANKIB1,7.23E-06,0.000394168
ANKLE1,1,1
ANKLE2,0.041298485,0.000389434
ANKMY2,0.008282325,0.000106365
ANKRA2,0.044513033,5.84E-05
ANKRD10,0.002452843,0.000142865
ANKRD11,0.006023167,0.000323824
ANKRD12,0.000998694,6.10E-05
ANKRD13A,0.105801314,0.000383975
ANKRD13C,0.001398897,0.002757788
ANKRD13D,3.72E-05,1.86E-07
ANKRD16,0.012113086,0.001015191
ANKRD17,0.000453036,2.36E-05
ANKRD2,1,1
ANKRD23,0.00812752,1
ANKRD24,0.023452264,0.008293511
ANKRD27,0.000786578,7.51E-07
ANKRD28,0.002615642,0.383842398
ANKRD29,0.050763673,9.28E-05
ANKRD33,1,1
ANKRD33B,0.143094951,0.010358704
ANKRD34A,1,0.047599627
ANKRD34B,1,1
ANKRD34C,1,0.303297184
ANKRD35,0.004574784,0.023574601
ANKRD37,0.269353051,0.027807849
ANKRD39,1,0.008592266
ANKRD40,5.47E-05,1.55E-05
ANKRD42,0.03178949,0.000810664
ANKRD44,0.742537559,0.021372328
ANKRD45,1,6.59E-05
ANKRD46,0.000191059,1.20E-12
ANKRD49,0.821020171,0.000604997
ANKRD50,0.016006226,0.000370629
ANKRD52,0.002651673,0.011717934
ANKRD54,0.041258819,0.002785327
ANKRD55,0.008981852,0.002367099
ANKRD6,0.003108131,0.002498454
ANKRD61,1,1
ANKRD9,0.002825337,0.000312839
ANKS1A,3.32E-06,0.005412525
ANKS1B,8.95E-05,0.006418649
ANKS3,0.011935694,0.00040501
ANKS6,0.129217099,0.060028075
ANKUB1,0.123573562,1
ANKZF1,0.036759698,0.031376322
ANLN,0.757587492,0.012586114
ANO1,0.19411593,0.042229171
ANO10,2.96E-05,9.40E-05
ANO2,0.084725451,1
ANO3,0.000132447,8.80E-07
ANO4,0.001051573,0.000242034
ANO5,0.000293139,1
ANO6,0.002339989,1.23E-05
ANO7,1,1
ANO8,0.021923117,1
ANP32A,0.014963998,0.002067131
ANP32B,1.61E-06,2.21E-06
ANP32D,1,0.002067131
ANP32E,0.00066634,3.85E-06
ANPEP,1,1
ANTXR1,0.103008087,0.018861303
ANTXR2,0.03198141,1.11E-05
ANXA1,0.750669746,1
ANXA11,0.005776224,0.013954556
ANXA13,1,1
ANXA3,0.235491093,0.086291216
ANXA4,0.021275759,0.00125039
ANXA5,2.18E-08,3.70E-21
ANXA6,2.08E-07,8.79E-12
ANXA7,4.63E-08,2.62E-10
ANXA8,1,1
ANXA8L1,0.01868902,1
ANXA9,1,1
AOC2,0.614952715,1
AOC3,1,1
AOX1,1,0.000348718
AP1AR,0.001178617,1.81E-06
AP1B1,0.000120037,2.76E-08
AP1G1,0.002548696,8.31E-05
AP1G2,0.229213743,0.860514236
AP1M1,0.001839943,2.00E-10
AP1M2,1,1
AP1S1,2.33E-08,6.51E-12
AP1S2,9.26E-06,5.75E-07
AP1S3,0.160147478,1
AP2A1,0.004239801,3.50E-07
AP2A2,2.81E-06,2.21E-10
AP2B1,0.005857583,1.78E-05
AP2M1,8.76E-05,3.42E-09
AP2S1,1.81E-10,4.03E-15
AP3B1,0.000640037,7.06E-05
AP3B2,0.001438342,2.93E-07
AP3D1,8.06E-05,7.63E-07
AP3M1,0.005225566,1.22E-07
AP3M2,0.016397398,6.01E-05
AP3S1,1.41E-05,7.04E-07
AP3S2,0.023502031,6.60E-07
AP4B1,0.987564964,0.039804565
AP4E1,0.037085003,0.001399054
AP4M1,0.070615491,0.072975883
AP4S1,0.143430591,8.34E-06
AP5B1,0.39698207,0.323476791
AP5M1,0.085559375,0.019446121
AP5S1,0.898640176,0.000286371
AP5Z1,0.002572159,0.004564126
APAF1,0.075039035,0.064887036
APBA1,6.72E-06,5.39E-05
APBA2,0.002462291,1.24E-06
APBA3,0.295946328,0.000300498
APBB1,5.42E-06,2.60E-10
APBB1IP,0.006808557,1
APBB2,0.000211476,9.13E-06
APBB3,1,1
APC,0.000826139,0.000136168
APC2,0.00042559,0.011752104
APCDD1,1,1
APEH,0.102967509,0.000355527
APEX1,0.009741837,0.000496979
APEX2,1,0.011659789
APH1A,0.008227562,0.003237114
APH1B,0.021287177,0.10357881
API5,2.18E-05,1.53E-07
APIP,0.011725688,4.38E-07
APLF,0.058097421,0.002806143
APLN,1,0.631907985
APLNR,1,1
APLP1,0.001144217,1.64E-09
APLP2,3.27E-08,4.07E-14
APMAP,3.09E-06,3.69E-07
APOBEC1,1,1
APOBEC2,1,1
APOBEC3H,1,1
APOBR,1,0.564808227
APOC1,0.090517921,1
APOD,0.0113622,0.000206296
APOE,1.67E-06,1.16E-10
APOH,1,0.091193259
APOL1,0.033418547,1
APOL2,1.37E-07,1
APOL3,1,1
APOL4,1,1
APOL6,0.170481616,1
APOLD1,0.244694279,0.825940719
APOO,0.000168024,0.002407375
APOOL,0.011167318,0.000608506
APP,6.80E-10,5.61E-11
APPBP2,0.001223353,2.31E-05
APPL1,0.000272867,1.04E-05
APPL2,0.014794516,5.87E-05
APRT,0.017541132,1.12E-07
APTX,0.021655279,2.28E-05
AQP1,8.89E-08,5.09E-07
AQP11,0.135874711,0.042816287
AQP3,0.961800198,1
AQP4,1,1
AQP5,1,1
AQP7,0.60299593,1
AQP8,1,1
AQP9,1,1
AQR,0.025451254,0.000389042
AR,0.219220945,0.008929744
ARAF,0.200395372,9.15E-11
ARAP1,0.011314902,0.000386696
ARAP2,0.086804652,0.003465756
ARAP3,1,1
ARC,0.26765347,0.069446238
ARCN1,0.028994279,8.08E-06
AREG,1,0.136174635
AREL1,0.000379198,0.002516978
ARF1,2.16E-07,1.68E-15
ARF3,1,7.12E-10
ARF4,4.99E-05,3.75E-11
ARF5,0.002492729,2.99E-08
ARF6,0.003055648,8.08E-05
ARFGAP1,8.49E-07,2.71E-05
ARFGAP2,0.001371942,0.001555621
ARFGAP3,0.005332765,4.42E-08
ARFGEF1,0.000366248,0.000159775
ARFGEF2,0.001081732,2.58E-05
ARFGEF3,3.42E-06,1
ARFIP1,0.001721511,0.001565385
ARFIP2,1,1.04E-06
ARFRP1,2.03E-05,3.64E-05
ARG2,0.001076023,1
ARGLU1,5.86E-05,1.25E-05
ARHGAP1,0.003424081,1.89E-08
ARHGAP10,0.069904939,0.578086104
ARHGAP11A,1,0.483014759
ARHGAP11B,0.007484259,0.483014759
ARHGAP12,1.22E-05,1.87E-05
ARHGAP15,0.146196297,0.001344227
ARHGAP17,8.30E-05,3.30E-06
ARHGAP18,0.000272263,1
ARHGAP19-SLIT1,1,0.048739273
ARHGAP20,0.002035111,0.04505359
ARHGAP21,0.004841079,3.94E-05
ARHGAP22,1.90E-06,0.000424113
ARHGAP23,0.002295005,0.004899319
ARHGAP24,0.015455922,0.001611815
ARHGAP25,1,0.003009757
ARHGAP26,0.000369743,1.39E-05
ARHGAP27,0.046033729,0.025119365
ARHGAP28,0.360168162,3.91E-06
ARHGAP29,0.02117322,1
ARHGAP30,0.347103512,1
ARHGAP31,0.007672614,0.010283772
ARHGAP32,0.007701939,0.048954832
ARHGAP33,0.979012174,0.000952855
ARHGAP35,2.58E-07,0.016851872
ARHGAP36,1,0.000641925
ARHGAP39,4.37E-05,0.000489215
ARHGAP4,0.600775748,1
ARHGAP42,0.0916291,0.002512332
ARHGAP44,0.000107772,1.82E-06
ARHGAP5,0.000857867,0.000156118
ARHGAP6,0.035482153,1
ARHGAP9,1,1
ARHGDIA,1.89E-10,4.62E-17
ARHGDIB,1,1
ARHGDIG,2.53E-09,1.27E-08
ARHGEF1,0.079143697,0.000381272
ARHGEF10,1,0.0091225
ARHGEF10L,0.000844591,2.02E-05
ARHGEF11,1.48E-07,0.000298948
ARHGEF12,0.005430806,5.76E-05
ARHGEF15,1,0.013274342
ARHGEF16,1,1
ARHGEF17,0.000171283,0.002100514
ARHGEF19,1,0.422415395
ARHGEF2,0.599299415,0.115566251
ARHGEF25,0.003177713,1.42E-05
ARHGEF26,0.071802629,1
ARHGEF28,0.010727704,0.001613484
ARHGEF3,0.002540914,0.000785223
ARHGEF33,0.590686874,1
ARHGEF37,0.01675904,1
ARHGEF39,1,1
ARHGEF40,0.139774387,0.001444355
ARHGEF5,1,1
ARHGEF6,0.000544916,0.000835284
ARHGEF7,3.57E-05,2.19E-05
ARHGEF9,0.001576586,0.004980391
ARID1A,0.005463818,8.13E-05
ARID1B,0.007192763,0.018731473
ARID2,0.026189019,0.057430326
ARID3A,0.02010486,0.334653922
ARID3B,0.052387214,0.101900937
ARID4A,0.000672092,7.71E-05
ARID4B,0.001065622,6.23E-05
ARID5A,1,0.001329937
ARID5B,0.03121948,0.004158139
ARIH1,0.000447066,0.000238225
ARIH2,0.000584859,3.02E-05
ARL1,0.011301419,4.79E-09
ARL10,0.011120698,0.023386182
ARL11,1,1
ARL13B,0.029650501,0.001185796
ARL14EP,0.282783033,0.000900213
ARL15,5.60E-06,0.000519921
ARL16,0.106323824,5.01E-07
ARL17A,1,3.55E-05
ARL17B,0.199878274,3.55E-05
ARL2-SNX15,1,1.10E-07
ARL2BP,1.59E-06,4.94E-08
ARL3,0.001082686,6.05E-09
ARL4A,1,2.99E-05
ARL4C,1.43E-05,0.00017866
ARL4D,0.028191063,0.000600347
ARL5A,0.036311833,2.03E-05
ARL5B,0.03829839,0.007589579
ARL5C,1,0.831066368
ARL6,0.029665558,2.78E-09
ARL6IP1,1,6.68E-17
ARL6IP4,1,7.25E-10
ARL6IP5,1.02E-07,7.04E-11
ARL6IP6,1,0.00372078
ARL8A,3.31E-15,4.82E-11
ARL8B,1.41E-06,2.21E-10
ARMC1,0.000312271,1.91E-08
ARMC10,0.003121945,3.14E-05
ARMC2,0.000206628,0.052558771
ARMC5,0.002369163,6.17E-05
ARMC6,0.01692818,1.97E-05
ARMC7,0.065853325,0.006838452
ARMC8,0.003217716,8.26E-08
ARMC9,0.030953284,0.030562901
ARMCX1,8.10E-05,2.02E-12
ARMCX2,0.007045109,9.73E-07
ARMCX3,3.29E-05,7.47E-07
ARMCX4,0.069720561,0.008857811
ARMCX5,1,0.000532203
ARMCX6,1,0.002302205
ARMT1,0.104737768,1
ARNT,0.000364319,0.002284787
ARNT2,0.002764342,0.000270833
ARNTL,0.129268439,1
ARNTL2,0.008535121,0.095923725
ARPC1A,1.17E-08,5.43E-15
ARPC1B,0.043706128,5.58E-11
ARPC2,6.58E-05,2.01E-12
ARPC3,1,9.46E-11
ARPC5,0.012606781,2.01E-14
